Dato	Time	P_mm_256moh	T_minC_256moh	T_maxC_256moh	Q_catchmentexample
dd.mm.yyyy	hh.mm.ss	mm	grC	grC	m3/s
09.04.2072	00.00.00	7.0	4.55	4.55	0.0
10.04.2072	00.00.00	19.3	7.55	7.55	0.0
11.04.2072	00.00.00	1.1	5.35	5.35	0.0
12.04.2072	00.00.00	0.0	5.516667	5.516667	0.0
13.04.2072	00.00.00	0.0	4.25	4.25	0.0
14.04.2072	00.00.00	1.315385	5.583333	5.583333	0.0
15.04.2072	00.00.00	8.828571	6.55	6.55	0.0
16.04.2072	00.00.00	0.0	7.75	7.75	0.0
17.04.2072	00.00.00	0.1	8.7	8.7	0.0
18.04.2072	00.00.00	17.713333	7.35	7.35	0.0
19.04.2072	00.00.00	0.0	8.25	8.25	0.0
20.04.2072	00.00.00	1.9	8.7	8.7	0.0
21.04.2072	00.00.00	0.0	7.9	7.9	0.0
22.04.2072	00.00.00	22.154545	7.75	7.75	0.0
23.04.2072	00.00.00	28.335	8.45	8.45	0.0
24.04.2072	00.00.00	12.9	8.55	8.55	0.0
25.04.2072	00.00.00	20.4375	7.15	7.15	0.0
26.04.2072	00.00.00	2.9	7.683333	7.683333	0.0
27.04.2072	00.00.00	0.0	12.05	12.05	0.0
28.04.2072	00.00.00	0.0	14.35	14.35	0.0
29.04.2072	00.00.00	0.0	13.25	13.25	0.0
30.04.2072	00.00.00	0.0	14.05	14.05	0.0
01.05.2072	00.00.00	4.6	12.25	12.25	0.0
02.05.2072	00.00.00	0.0	8.55	8.55	0.0
03.05.2072	00.00.00	0.0	5.45	5.45	0.0
04.05.2072	00.00.00	2.1	6.35	6.35	0.0
05.05.2072	00.00.00	1.566667	7.25	7.25	0.0
06.05.2072	00.00.00	0.0	10.958333	10.958333	0.0
07.05.2072	00.00.00	0.0	9.416667	9.416667	0.0
08.05.2072	00.00.00	0.0	8.7	8.7	0.0
09.05.2072	00.00.00	0.0	9.35	9.35	0.0
10.05.2072	00.00.00	0.0	9.65	9.65	0.0
11.05.2072	00.00.00	0.0	10.55	10.55	0.0
12.05.2072	00.00.00	0.0	11.35	11.35	0.0
13.05.2072	00.00.00	1.1	9.483333	9.483333	0.0
14.05.2072	00.00.00	5.6	8.35	8.35	0.0
15.05.2072	00.00.00	0.0	6.901724	6.901724	0.0
16.05.2072	00.00.00	0.0	8.7	8.7	0.0
17.05.2072	00.00.00	0.0	10.35	10.35	0.0
18.05.2072	00.00.00	0.0	10.55	10.55	0.0
19.05.2072	00.00.00	0.7	10.15	10.15	0.0
20.05.2072	00.00.00	0.0	12.5	12.5	0.0
21.05.2072	00.00.00	0.0	13.75	13.75	0.0
22.05.2072	00.00.00	0.0	15.75	15.75	0.0
23.05.2072	00.00.00	0.0	13.05	13.05	0.0
24.05.2072	00.00.00	0.6	11.25	11.25	0.0
25.05.2072	00.00.00	0.0	11.95	11.95	0.0
26.05.2072	00.00.00	0.0	11.75	11.75	0.0
27.05.2072	00.00.00	0.0	12.65	12.65	0.0
28.05.2072	00.00.00	0.0	15.65	15.65	0.0
29.05.2072	00.00.00	0.0	15.75	15.75	0.0
30.05.2072	00.00.00	0.0	16.20625	16.20625	0.0
31.05.2072	00.00.00	0.0	16.20625	16.20625	0.0
01.06.2072	00.00.00	0.0	16.0875	16.0875	0.0
02.06.2072	00.00.00	18.166667	13.25	13.25	0.0
03.06.2072	00.00.00	0.0	11.45	11.45	0.0
04.06.2072	00.00.00	1.566667	11.35	11.35	0.0
05.06.2072	00.00.00	0.0	10.75	10.75	0.0
06.06.2072	00.00.00	0.0	12.25	12.25	0.0
07.06.2072	00.00.00	0.0	15.45	15.45	0.0
08.06.2072	00.00.00	0.0	17.266667	17.266667	0.0
09.06.2072	00.00.00	0.0	19.35	19.35	0.0
10.06.2072	00.00.00	3.7	17.35	17.35	0.0
11.06.2072	00.00.00	7.2	16.43	16.43	0.0
12.06.2072	00.00.00	0.0	16.745	16.745	0.0
13.06.2072	00.00.00	0.0	16.64	16.64	0.0
14.06.2072	00.00.00	10.871429	17.677273	17.677273	0.0
15.06.2072	00.00.00	0.0	18.168182	18.168182	0.0
16.06.2072	00.00.00	0.0	19.234211	19.234211	0.0
17.06.2072	00.00.00	0.2	18.886842	18.886842	0.0
18.06.2072	00.00.00	0.0	20.170513	20.170513	0.0
19.06.2072	00.00.00	0.0	20.334615	20.334615	0.0
20.06.2072	00.00.00	14.812676	19.678205	19.678205	0.0
21.06.2072	00.00.00	0.0	20.088462	20.088462	0.0
22.06.2072	00.00.00	0.0	20.498718	20.498718	0.0
23.06.2072	00.00.00	0.0	20.826923	20.826923	0.0
24.06.2072	00.00.00	0.0	20.744872	20.744872	0.0
25.06.2072	00.00.00	1.5	19.678205	19.678205	0.0
26.06.2072	00.00.00	0.116667	18.004545	18.004545	0.0
27.06.2072	00.00.00	0.0	18.307895	18.307895	0.0
28.06.2072	00.00.00	0.0	20.00641	20.00641	0.0
29.06.2072	00.00.00	0.0	21.319231	21.319231	0.0
30.06.2072	00.00.00	0.0	21.483333	21.483333	0.0
01.07.2072	00.00.00	0.0	20.908974	20.908974	0.0
02.07.2072	00.00.00	0.0	20.334615	20.334615	0.0
03.07.2072	00.00.00	0.0	17.183333	17.183333	0.0
04.07.2072	00.00.00	0.0	18.886842	18.886842	0.0
05.07.2072	00.00.00	0.0	19.596154	19.596154	0.0
06.07.2072	00.00.00	0.0	19.234211	19.234211	0.0
07.07.2072	00.00.00	0.0	20.744872	20.744872	0.0
08.07.2072	00.00.00	0.0	21.647436	21.647436	0.0
09.07.2072	00.00.00	0.0	23.05	23.05	0.0
10.07.2072	00.00.00	0.0	21.89359	21.89359	0.0
11.07.2072	00.00.00	3.0	19.760256	19.760256	0.0
12.07.2072	00.00.00	0.1	20.498718	20.498718	0.0
13.07.2072	00.00.00	0.2	20.00641	20.00641	0.0
14.07.2072	00.00.00	0.0	20.334615	20.334615	0.0
15.07.2072	00.00.00	0.0	20.826923	20.826923	0.0
16.07.2072	00.00.00	0.0	21.89359	21.89359	0.0
17.07.2072	00.00.00	0.0	21.89359	21.89359	0.0
18.07.2072	00.00.00	0.0	22.467949	22.467949	0.0
19.07.2072	00.00.00	0.0	22.303846	22.303846	0.0
20.07.2072	00.00.00	0.0	23.05	23.05	0.0
21.07.2072	00.00.00	0.0	23.85	23.85	0.0
22.07.2072	00.00.00	7.557143	23.25	23.25	0.0
23.07.2072	00.00.00	0.3	21.401282	21.401282	0.0
24.07.2072	00.00.00	0.0	20.580769	20.580769	0.0
25.07.2072	00.00.00	0.0	19.924359	19.924359	0.0
26.07.2072	00.00.00	0.0	19.596154	19.596154	0.0
27.07.2072	00.00.00	0.0	20.908974	20.908974	0.0
28.07.2072	00.00.00	0.0	21.811538	21.811538	0.0
29.07.2072	00.00.00	0.0	21.401282	21.401282	0.0
30.07.2072	00.00.00	4.3	20.991026	20.991026	0.0
31.07.2072	00.00.00	0.0	19.842308	19.842308	0.0
01.08.2072	00.00.00	0.0	19.924359	19.924359	0.0
02.08.2072	00.00.00	0.0	19.514103	19.514103	0.0
03.08.2072	00.00.00	0.0	18.004545	18.004545	0.0
04.08.2072	00.00.00	0.0	18.004545	18.004545	0.0
05.08.2072	00.00.00	0.0	17.1	17.1	0.0
06.08.2072	00.00.00	9.7	14.75	14.75	0.0
07.08.2072	00.00.00	24.961905	16.20625	16.20625	0.0
08.08.2072	00.00.00	0.0	16.0875	16.0875	0.0
09.08.2072	00.00.00	7.2	15.05	15.05	0.0
10.08.2072	00.00.00	0.0	16.64	16.64	0.0
11.08.2072	00.00.00	0.2	15.45	15.45	0.0
12.08.2072	00.00.00	0.0	16.64	16.64	0.0
13.08.2072	00.00.00	0.0	15.55	15.55	0.0
14.08.2072	00.00.00	0.0	18.539474	18.539474	0.0
15.08.2072	00.00.00	8.828571	16.933333	16.933333	0.0
16.08.2072	00.00.00	0.0	16.745	16.745	0.0
17.08.2072	00.00.00	0.0	17.840909	17.840909	0.0
18.08.2072	00.00.00	2.0	18.655263	18.655263	0.0
19.08.2072	00.00.00	6.5	17.840909	17.840909	0.0
20.08.2072	00.00.00	0.0	19.760256	19.760256	0.0
21.08.2072	00.00.00	0.0	20.416667	20.416667	0.0
22.08.2072	00.00.00	0.0	18.771053	18.771053	0.0
23.08.2072	00.00.00	0.0	19.234211	19.234211	0.0
24.08.2072	00.00.00	0.0	18.655263	18.655263	0.0
25.08.2072	00.00.00	0.0	17.183333	17.183333	0.0
26.08.2072	00.00.00	0.1	15.45	15.45	0.0
27.08.2072	00.00.00	5.8	15.55	15.55	0.0
28.08.2072	00.00.00	0.0	16.0875	16.0875	0.0
29.08.2072	00.00.00	0.0	16.933333	16.933333	0.0
30.08.2072	00.00.00	45.753673	16.0875	16.0875	0.0
31.08.2072	00.00.00	2.6	14.616667	14.616667	0.0
01.09.2072	00.00.00	6.0	14.616667	14.616667	0.0
02.09.2072	00.00.00	9.0	14.35	14.35	0.0
03.09.2072	00.00.00	0.116667	15.55	15.55	0.0
04.09.2072	00.00.00	21.790909	15.75	15.75	0.0
05.09.2072	00.00.00	0.3	14.25	14.25	0.0
06.09.2072	00.00.00	2.7	13.05	13.05	0.0
07.09.2072	00.00.00	0.0	13.55	13.55	0.0
08.09.2072	00.00.00	0.0	12.95	12.95	0.0
09.09.2072	00.00.00	3.9	10.75	10.75	0.0
10.09.2072	00.00.00	4.4	13.916667	13.916667	0.0
11.09.2072	00.00.00	0.0	12.85	12.85	0.0
12.09.2072	00.00.00	1.0	13.05	13.05	0.0
13.09.2072	00.00.00	0.0	12.05	12.05	0.0
14.09.2072	00.00.00	4.6	10.35	10.35	0.0
15.09.2072	00.00.00	0.0	11.95	11.95	0.0
16.09.2072	00.00.00	1.7	10.65	10.65	0.0
17.09.2072	00.00.00	0.0	15.316667	15.316667	0.0
18.09.2072	00.00.00	0.0	16.64	16.64	0.0
19.09.2072	00.00.00	0.0	13.65	13.65	0.0
20.09.2072	00.00.00	0.0	8.916667	8.916667	0.0
21.09.2072	00.00.00	0.0	9.483333	9.483333	0.0
22.09.2072	00.00.00	0.116667	11.65	11.65	0.0
23.09.2072	00.00.00	0.0	15.65	15.65	0.0
24.09.2072	00.00.00	0.116667	16.535	16.535	0.0
25.09.2072	00.00.00	2.45	12.05	12.05	0.0
26.09.2072	00.00.00	0.0	9.55	9.55	0.0
27.09.2072	00.00.00	1.7	10.854167	10.854167	0.0
28.09.2072	00.00.00	0.0	10.854167	10.854167	0.0
29.09.2072	00.00.00	0.0	7.616667	7.616667	0.0
30.09.2072	00.00.00	0.0	7.15	7.15	0.0
01.10.2072	00.00.00	21.154545	7.25	7.25	0.0
02.10.2072	00.00.00	1.5	7.55	7.55	0.0
03.10.2072	00.00.00	0.4	7.55	7.55	0.0
04.10.2072	00.00.00	0.0	6.782258	6.782258	0.0
05.10.2072	00.00.00	14.508451	6.55	6.55	0.0
06.10.2072	00.00.00	29.076471	9.416667	9.416667	0.0
07.10.2072	00.00.00	1.7	9.55	9.55	0.0
08.10.2072	00.00.00	8.742857	10.25	10.25	0.0
09.10.2072	00.00.00	19.186667	9.95	9.95	0.0
10.10.2072	00.00.00	17.346734	10.45	10.45	0.0
11.10.2072	00.00.00	61.671207	13.25	13.25	0.0
12.10.2072	00.00.00	2.166667	11.25	11.25	0.0
13.10.2072	00.00.00	0.8	9.483333	9.483333	0.0
14.10.2072	00.00.00	0.0	9.95	9.95	0.0
15.10.2072	00.00.00	0.0	9.75	9.75	0.0
16.10.2072	00.00.00	0.0	9.483333	9.483333	0.0
17.10.2072	00.00.00	0.0	9.05	9.05	0.0
18.10.2072	00.00.00	0.0	9.75	9.75	0.0
19.10.2072	00.00.00	0.0	9.95	9.95	0.0
20.10.2072	00.00.00	6.7	9.483333	9.483333	0.0
21.10.2072	00.00.00	6.3	9.416667	9.416667	0.0
22.10.2072	00.00.00	0.0	8.45	8.45	0.0
23.10.2072	00.00.00	0.0	4.05	4.05	0.0
24.10.2072	00.00.00	0.0	2.65	2.65	0.0
25.10.2072	00.00.00	0.0	3.65	3.65	0.0
26.10.2072	00.00.00	0.0	3.35	3.35	0.0
27.10.2072	00.00.00	0.0	2.95	2.95	0.0
28.10.2072	00.00.00	0.0	2.3	2.3	0.0
29.10.2072	00.00.00	0.0	2.25	2.25	0.0
30.10.2072	00.00.00	0.0	2.75	2.75	0.0
31.10.2072	00.00.00	42.148044	3.35	3.35	0.0
01.11.2072	00.00.00	5.8	5.183333	5.183333	0.0
02.11.2072	00.00.00	0.4	3.75	3.75	0.0
03.11.2072	00.00.00	0.0	3.35	3.35	0.0
04.11.2072	00.00.00	0.0	2.45	2.45	0.0
05.11.2072	00.00.00	0.0	2.45	2.45	0.0
06.11.2072	00.00.00	1.252174	2.75	2.75	0.0
07.11.2072	00.00.00	0.3	2.95	2.95	0.0
08.11.2072	00.00.00	0.0	1.05	1.05	0.0
09.11.2072	00.00.00	0.0	-0.583333	-0.583333	0.0
10.11.2072	00.00.00	9.233333	1.6	1.6	0.0
11.11.2072	00.00.00	15.716	2.45	2.45	0.0
12.11.2072	00.00.00	1.7	2.05	2.05	0.0
13.11.2072	00.00.00	0.7	2.95	2.95	0.0
14.11.2072	00.00.00	0.0	3.016667	3.016667	0.0
15.11.2072	00.00.00	0.0	2.95	2.95	0.0
16.11.2072	00.00.00	0.0	2.25	2.25	0.0
17.11.2072	00.00.00	9.233333	2.05	2.05	0.0
18.11.2072	00.00.00	0.7	3.65	3.65	0.0
19.11.2072	00.00.00	0.066667	4.15	4.15	0.0
20.11.2072	00.00.00	1.1	4.15	4.15	0.0
21.11.2072	00.00.00	5.2	6.15	6.15	0.0
22.11.2072	00.00.00	6.0	4.35	4.35	0.0
23.11.2072	00.00.00	25.2	4.75	4.75	0.0
24.11.2072	00.00.00	0.0	5.95	5.95	0.0
25.11.2072	00.00.00	23.17619	4.05	4.05	0.0
26.11.2072	00.00.00	17.6	4.15	4.15	0.0
27.11.2072	00.00.00	0.0	4.15	4.15	0.0
28.11.2072	00.00.00	0.0	3.083333	3.083333	0.0
29.11.2072	00.00.00	0.0	2.3	2.3	0.0
30.11.2072	00.00.00	0.0	2.75	2.75	0.0
01.12.2072	00.00.00	0.0	1.65	1.65	0.0
02.12.2072	00.00.00	0.0	0.45	0.45	0.0
03.12.2072	00.00.00	3.0	1.25	1.25	0.0
04.12.2072	00.00.00	12.55	3.45	3.45	0.0
05.12.2072	00.00.00	28.005	4.35	4.35	0.0
06.12.2072	00.00.00	2.3	1.95	1.95	0.0
07.12.2072	00.00.00	3.6	0.35	0.35	0.0
08.12.2072	00.00.00	2.45	0.9	0.9	0.0
09.12.2072	00.00.00	0.5	0.95	0.95	0.0
10.12.2072	00.00.00	0.0	0.15	0.15	0.0
11.12.2072	00.00.00	0.0	0.25	0.25	0.0
12.12.2072	00.00.00	0.0	-0.183333	-0.183333	0.0
13.12.2072	00.00.00	0.0	2.45	2.45	0.0
14.12.2072	00.00.00	0.0	2.55	2.55	0.0
15.12.2072	00.00.00	0.0	0.15	0.15	0.0
16.12.2072	00.00.00	0.0	-2.95	-2.95	0.0
17.12.2072	00.00.00	3.3	0.35	0.35	0.0
18.12.2072	00.00.00	7.9	2.25	2.25	0.0
19.12.2072	00.00.00	0.1	2.75	2.75	0.0
20.12.2072	00.00.00	0.066667	1.15	1.15	0.0
21.12.2072	00.00.00	0.0	-0.95	-0.95	0.0
22.12.2072	00.00.00	1.5	-2.6	-2.6	0.0
23.12.2072	00.00.00	21.7	0.95	0.95	0.0
24.12.2072	00.00.00	0.1	1.15	1.15	0.0
25.12.2072	00.00.00	0.0	-2.525	-2.525	0.0
26.12.2072	00.00.00	0.0	-1.383333	-1.383333	0.0
27.12.2072	00.00.00	54.020238	2.05	2.05	0.0
28.12.2072	00.00.00	8.914286	3.55	3.55	0.0
29.12.2072	00.00.00	1.1	2.55	2.55	0.0
30.12.2072	00.00.00	1.5	2.15	2.15	0.0
31.12.2072	00.00.00	2.1	5.116667	5.116667	0.0
01.01.2073	00.00.00	7.1	4.9	4.9	0.0
02.01.2073	00.00.00	4.6	2.25	2.25	0.0
03.01.2073	00.00.00	11.1	2.45	2.45	0.0
04.01.2073	00.00.00	2.7	2.05	2.05	0.0
05.01.2073	00.00.00	0.0	1.75	1.75	0.0
06.01.2073	00.00.00	0.0	-0.8	-0.8	0.0
07.01.2073	00.00.00	0.2	0.4	0.4	0.0
08.01.2073	00.00.00	0.0	1.65	1.65	0.0
09.01.2073	00.00.00	9.116667	1.95	1.95	0.0
10.01.2073	00.00.00	0.0	0.75	0.75	0.0
11.01.2073	00.00.00	0.0	0.75	0.75	0.0
12.01.2073	00.00.00	0.0	-0.25	-0.25	0.0
13.01.2073	00.00.00	0.0	-1.383333	-1.383333	0.0
14.01.2073	00.00.00	0.0	-3.05	-3.05	0.0
15.01.2073	00.00.00	28.4175	-1.05	-1.05	0.0
16.01.2073	00.00.00	10.3	-3.65	-3.65	0.0
17.01.2073	00.00.00	0.3	-14.355663	-14.355663	0.0
18.01.2073	00.00.00	0.066667	-18.752104	-18.752104	0.0
19.01.2073	00.00.00	4.4	-8.034615	-8.034615	0.0
20.01.2073	00.00.00	0.0	-8.034615	-8.034615	0.0
21.01.2073	00.00.00	0.116667	-4.808209	-4.808209	0.0
22.01.2073	00.00.00	0.0	-17.253317	-17.253317	0.0
23.01.2073	00.00.00	0.0	-18.852023	-18.852023	0.0
24.01.2073	00.00.00	0.0	-16.154207	-16.154207	0.0
25.01.2073	00.00.00	0.0	-7.05	-7.05	0.0
26.01.2073	00.00.00	0.0	-0.05	-0.05	0.0
27.01.2073	00.00.00	0.0	2.65	2.65	0.0
28.01.2073	00.00.00	0.0	0.85	0.85	0.0
29.01.2073	00.00.00	5.44	1.65	1.65	0.0
30.01.2073	00.00.00	9.233333	1.35	1.35	0.0
31.01.2073	00.00.00	4.933333	-2.75	-2.75	0.0
01.02.2073	00.00.00	2.7	-0.95	-0.95	0.0
02.02.2073	00.00.00	4.3	0.05	0.05	0.0
03.02.2073	00.00.00	12.55	2.45	2.45	0.0
04.02.2073	00.00.00	0.0	1.75	1.75	0.0
05.02.2073	00.00.00	0.0	1.35	1.35	0.0
06.02.2073	00.00.00	28.730588	2.25	2.25	0.0
07.02.2073	00.00.00	6.6	4.05	4.05	0.0
08.02.2073	00.00.00	7.9	3.75	3.75	0.0
09.02.2073	00.00.00	5.6	2.45	2.45	0.0
10.02.2073	00.00.00	5.44	2.35	2.35	0.0
11.02.2073	00.00.00	0.0	1.15	1.15	0.0
12.02.2073	00.00.00	0.0	-0.583333	-0.583333	0.0
13.02.2073	00.00.00	27.18	1.35	1.35	0.0
14.02.2073	00.00.00	0.95	4.15	4.15	0.0
15.02.2073	00.00.00	2.7	3.15	3.15	0.0
16.02.2073	00.00.00	0.0	0.9	0.9	0.0
17.02.2073	00.00.00	1.252174	2.3	2.3	0.0
18.02.2073	00.00.00	15.640571	3.016667	3.016667	0.0
19.02.2073	00.00.00	0.0	0.4	0.4	0.0
20.02.2073	00.00.00	29.422353	-1.15	-1.15	0.0
21.02.2073	00.00.00	7.557143	2.15	2.15	0.0
22.02.2073	00.00.00	1.8	1.95	1.95	0.0
23.02.2073	00.00.00	61.847092	2.75	2.75	0.0
24.02.2073	00.00.00	24.604762	2.55	2.55	0.0
25.02.2073	00.00.00	3.1	1.55	1.55	0.0
26.02.2073	00.00.00	0.0	0.65	0.65	0.0
27.02.2073	00.00.00	0.0	-1.75	-1.75	0.0
28.02.2073	00.00.00	13.1	0.55	0.55	0.0
01.03.2073	00.00.00	8.4	3.083333	3.083333	0.0
02.03.2073	00.00.00	3.3	1.55	1.55	0.0
03.03.2073	00.00.00	0.0	1.6	1.6	0.0
04.03.2073	00.00.00	0.65	1.15	1.15	0.0
05.03.2073	00.00.00	20.2625	3.35	3.35	0.0
06.03.2073	00.00.00	0.0	2.3	2.3	0.0
07.03.2073	00.00.00	0.7	2.35	2.35	0.0
08.03.2073	00.00.00	0.0	0.55	0.55	0.0
09.03.2073	00.00.00	0.0	-1.05	-1.05	0.0
10.03.2073	00.00.00	0.0	0.05	0.05	0.0
11.03.2073	00.00.00	0.0	-2.75	-2.75	0.0
12.03.2073	00.00.00	0.0	-2.25	-2.25	0.0
13.03.2073	00.00.00	3.8	-0.183333	-0.183333	0.0
14.03.2073	00.00.00	0.0	2.35	2.35	0.0
15.03.2073	00.00.00	15.015493	3.016667	3.016667	0.0
16.03.2073	00.00.00	0.3	3.65	3.65	0.0
17.03.2073	00.00.00	0.066667	3.45	3.45	0.0
18.03.2073	00.00.00	6.4	4.05	4.05	0.0
19.03.2073	00.00.00	0.0	4.55	4.55	0.0
20.03.2073	00.00.00	4.5	4.35	4.35	0.0
21.03.2073	00.00.00	9.116667	3.65	3.65	0.0
22.03.2073	00.00.00	0.0	3.15	3.15	0.0
23.03.2073	00.00.00	1.2	2.05	2.05	0.0
24.03.2073	00.00.00	19.7375	3.016667	3.016667	0.0
25.03.2073	00.00.00	10.1	3.15	3.15	0.0
26.03.2073	00.00.00	0.0	1.35	1.35	0.0
27.03.2073	00.00.00	0.0	0.45	0.45	0.0
28.03.2073	00.00.00	0.0	0.95	0.95	0.0
29.03.2073	00.00.00	0.0	3.55	3.55	0.0
30.03.2073	00.00.00	0.0	5.75	5.75	0.0
31.03.2073	00.00.00	0.0	8.05	8.05	0.0
01.04.2073	00.00.00	0.0	7.35	7.35	0.0
02.04.2073	00.00.00	0.0	7.25	7.25	0.0
03.04.2073	00.00.00	0.0	7.35	7.35	0.0
04.04.2073	00.00.00	0.0	7.616667	7.616667	0.0
05.04.2073	00.00.00	5.32	7.55	7.55	0.0
06.04.2073	00.00.00	0.0	8.85	8.85	0.0
07.04.2073	00.00.00	0.0	7.616667	7.616667	0.0
08.04.2073	00.00.00	0.3	7.75	7.75	0.0
09.04.2073	00.00.00	0.0	6.666129	6.666129	0.0
10.04.2073	00.00.00	0.0	7.75	7.75	0.0
11.04.2073	00.00.00	0.3	7.45	7.45	0.0
12.04.2073	00.00.00	0.0	6.05	6.05	0.0
13.04.2073	00.00.00	0.0	6.782258	6.782258	0.0
14.04.2073	00.00.00	0.0	7.55	7.55	0.0
15.04.2073	00.00.00	0.0	7.45	7.45	0.0
16.04.2073	00.00.00	0.0	7.55	7.55	0.0
17.04.2073	00.00.00	0.7	7.75	7.75	0.0
18.04.2073	00.00.00	6.2	7.616667	7.616667	0.0
19.04.2073	00.00.00	1.8	7.025862	7.025862	0.0
20.04.2073	00.00.00	0.066667	5.183333	5.183333	0.0
21.04.2073	00.00.00	0.7	4.35	4.35	0.0
22.04.2073	00.00.00	30.921176	3.083333	3.083333	0.0
23.04.2073	00.00.00	3.8	4.15	4.15	0.0
24.04.2073	00.00.00	0.0	5.516667	5.516667	0.0
25.04.2073	00.00.00	0.0	7.25	7.25	0.0
26.04.2073	00.00.00	22.154545	6.666129	6.666129	0.0
27.04.2073	00.00.00	11.644444	6.666129	6.666129	0.0
28.04.2073	00.00.00	5.9	6.483333	6.483333	0.0
29.04.2073	00.00.00	0.0	6.416667	6.416667	0.0
30.04.2073	00.00.00	0.0	5.05	5.05	0.0
01.05.2073	00.00.00	0.0	3.55	3.55	0.0
02.05.2073	00.00.00	0.0	5.05	5.05	0.0
03.05.2073	00.00.00	0.0	6.416667	6.416667	0.0
04.05.2073	00.00.00	0.0	5.75	5.75	0.0
05.05.2073	00.00.00	0.5	6.416667	6.416667	0.0
06.05.2073	00.00.00	0.0	8.05	8.05	0.0
07.05.2073	00.00.00	0.0	8.25	8.25	0.0
08.05.2073	00.00.00	0.0	7.15	7.15	0.0
09.05.2073	00.00.00	0.0	6.416667	6.416667	0.0
10.05.2073	00.00.00	6.7	7.45	7.45	0.0
11.05.2073	00.00.00	1.315385	8.55	8.55	0.0
12.05.2073	00.00.00	48.479881	8.35	8.35	0.0
13.05.2073	00.00.00	0.5	8.983333	8.983333	0.0
14.05.2073	00.00.00	6.5	10.05	10.05	0.0
15.05.2073	00.00.00	0.0	12.25	12.25	0.0
16.05.2073	00.00.00	13.8	11.65	11.65	0.0
17.05.2073	00.00.00	4.933333	9.483333	9.483333	0.0
18.05.2073	00.00.00	1.566667	9.75	9.75	0.0
19.05.2073	00.00.00	4.5	8.85	8.85	0.0
20.05.2073	00.00.00	0.0	10.45	10.45	0.0
21.05.2073	00.00.00	0.95	9.2	9.2	0.0
22.05.2073	00.00.00	0.0	10.15	10.15	0.0
23.05.2073	00.00.00	0.0	10.75	10.75	0.0
24.05.2073	00.00.00	0.0	11.45	11.45	0.0
25.05.2073	00.00.00	0.7	12.05	12.05	0.0
26.05.2073	00.00.00	1.633333	13.116667	13.116667	0.0
27.05.2073	00.00.00	0.0	11.75	11.75	0.0
28.05.2073	00.00.00	0.0	9.483333	9.483333	0.0
29.05.2073	00.00.00	0.0	10.15	10.15	0.0
30.05.2073	00.00.00	0.0	12.25	12.25	0.0
31.05.2073	00.00.00	0.0	13.65	13.65	0.0
01.06.2073	00.00.00	0.65	15.55	15.55	0.0
02.06.2073	00.00.00	0.0	16.20625	16.20625	0.0
03.06.2073	00.00.00	0.0	19.002632	19.002632	0.0
04.06.2073	00.00.00	0.0	20.088462	20.088462	0.0
05.06.2073	00.00.00	0.0	21.073077	21.073077	0.0
06.06.2073	00.00.00	0.0	19.924359	19.924359	0.0
07.06.2073	00.00.00	0.0	20.498718	20.498718	0.0
08.06.2073	00.00.00	0.0	16.43	16.43	0.0
09.06.2073	00.00.00	0.0	14.85	14.85	0.0
10.06.2073	00.00.00	0.0	13.183333	13.183333	0.0
11.06.2073	00.00.00	0.0	13.55	13.55	0.0
12.06.2073	00.00.00	0.0	15.316667	15.316667	0.0
13.06.2073	00.00.00	11.644444	14.616667	14.616667	0.0
14.06.2073	00.00.00	14.609859	11.95	11.95	0.0
15.06.2073	00.00.00	1.5	12.25	12.25	0.0
16.06.2073	00.00.00	18.166667	11.75	11.75	0.0
17.06.2073	00.00.00	5.44	12.65	12.65	0.0
18.06.2073	00.00.00	0.0	13.916667	13.916667	0.0
19.06.2073	00.00.00	0.0	13.116667	13.116667	0.0
20.06.2073	00.00.00	0.0	13.05	13.05	0.0
21.06.2073	00.00.00	0.0	14.05	14.05	0.0
22.06.2073	00.00.00	0.0	16.0875	16.0875	0.0
23.06.2073	00.00.00	0.0	17.016667	17.016667	0.0
24.06.2073	00.00.00	0.4	17.183333	17.183333	0.0
25.06.2073	00.00.00	1.0	15.55	15.55	0.0
26.06.2073	00.00.00	0.0	15.55	15.55	0.0
27.06.2073	00.00.00	0.0	14.95	14.95	0.0
28.06.2073	00.00.00	0.0	16.85	16.85	0.0
29.06.2073	00.00.00	0.0	16.325	16.325	0.0
30.06.2073	00.00.00	0.0	15.183333	15.183333	0.0
01.07.2073	00.00.00	0.0	16.64	16.64	0.0
02.07.2073	00.00.00	0.0	19.596154	19.596154	0.0
03.07.2073	00.00.00	0.0	21.565385	21.565385	0.0
04.07.2073	00.00.00	0.0	21.155128	21.155128	0.0
05.07.2073	00.00.00	0.0	20.662821	20.662821	0.0
06.07.2073	00.00.00	0.0	21.155128	21.155128	0.0
07.07.2073	00.00.00	0.0	20.744872	20.744872	0.0
08.07.2073	00.00.00	0.0	20.334615	20.334615	0.0
09.07.2073	00.00.00	0.0	20.252564	20.252564	0.0
10.07.2073	00.00.00	0.0	20.580769	20.580769	0.0
11.07.2073	00.00.00	0.0	21.729487	21.729487	0.0
12.07.2073	00.00.00	0.0	22.75	22.75	0.0
13.07.2073	00.00.00	0.0	23.35	23.35	0.0
14.07.2073	00.00.00	0.0	23.55	23.55	0.0
15.07.2073	00.00.00	0.0	23.05	23.05	0.0
16.07.2073	00.00.00	0.0	23.45	23.45	0.0
